SNAP,1210720,1345,DAILY,2.00,0.1350,0.1035,184,581.00,579.00,5355900,5319100,319100
SNAP,1210721,1345,DAILY,2.00,0.1350,0.1035,184,585.00,579.00,5429500,5319100,319100
SNAP,1210722,1345,DAILY,2.00,0.1350,0.1035,184,591.00,579.00,5539900,5319100,319100
REBAL,1210723,1345,UP,2.00,0.1350,0.1035,187,592.00,579.00,5558300,5558300,558300
SNAP,1210723,1345,DAILY,2.00,0.1350,0.1035,0,585.00,0.00,5558300,5558300,558300
SNAP,1210726,1345,DAILY,2.00,0.1350,0.1035,187,580.00,591.00,5352600,5558300,558300
SNAP,1210727,1345,DAILY,2.00,0.1350,0.1035,187,580.00,591.00,5352600,5558300,558300
SNAP,1210728,1345,DAILY,2.00,0.1350,0.1035,187,579.00,591.00,5333900,5558300,558300
SNAP,1210729,1345,DAILY,2.00,0.1350,0.1035,187,583.00,591.00,5408700,5558300,558300
SNAP,1210730,1345,DAILY,2.00,0.1350,0.1035,187,580.00,591.00,5352600,5558300,558300
SNAP,1210802,1345,DAILY,2.00,0.1350,0.1035,187,590.00,591.00,5539600,5558300,558300
SNAP,1210803,1345,DAILY,2.00,0.1350,0.1035,187,594.00,591.00,5614400,5558300,558300
SNAP,1210804,1345,DAILY,2.00,0.1350,0.1035,187,596.00,591.00,5651800,5558300,558300
SNAP,1210805,1345,DAILY,2.00,0.1350,0.1035,187,596.00,591.00,5651800,5558300,558300
SNAP,1210806,1345,DAILY,2.00,0.1350,0.1035,187,591.00,591.00,5558300,5558300,558300
SNAP,1210809,1345,DAILY,2.00,0.1350,0.1035,187,595.00,591.00,5633100,5558300,558300
SNAP,1210810,1345,DAILY,2.00,0.1350,0.1035,187,591.00,591.00,5558300,5558300,558300
SNAP,1210811,1345,DAILY,2.00,0.1350,0.1035,187,590.00,591.00,5539600,5558300,558300
SNAP,1210812,1345,DAILY,2.00,0.1350,0.1035,187,586.00,591.00,5464800,5558300,558300
SNAP,1210813,1345,DAILY,2.00,0.1350,0.1035,187,581.00,591.00,5371300,5558300,558300
SNAP,1210816,1345,DAILY,2.00,0.1350,0.1035,187,584.00,591.00,5427400,5558300,558300
SNAP,1210817,1345,DAILY,2.00,0.1350,0.1035,187,580.00,591.00,5352600,5558300,558300
SNAP,1210818,1345,DAILY,2.00,0.1350,0.1035,187,574.00,591.00,5240400,5558300,558300
SNAP,1210819,1345,DAILY,2.00,0.1350,0.1035,187,559.00,591.00,4959900,5558300,558300
REBAL,1210820,1345,DOWN,2.00,0.1350,0.1035,177,560.00,591.00,4978600,4978600,-21400
SNAP,1210820,1345,DAILY,2.00,0.1350,0.1035,0,552.00,0.00,4978600,4978600,-21400
SNAP,1210823,1345,DAILY,2.00,0.1350,0.1035,177,566.00,560.00,5084800,4978600,-21400
SNAP,1210824,1345,DAILY,2.00,0.1350,0.1035,177,572.00,560.00,5191000,4978600,-21400
SNAP,1210825,1345,DAILY,2.00,0.1350,0.1035,177,585.00,560.00,5421100,4978600,-21400
REBAL,1210826,1345,EXTRA,2.00,0.1350,0.1035,185,601.00,560.00,5704300,5704300,704300
SNAP,1210826,1345,DAILY,2.00,0.1350,0.1035,0,594.00,0.00,5704300,5704300,704300
SNAP,1210827,1345,DAILY,2.00,0.1350,0.1035,185,599.00,596.00,5759800,5704300,704300
SNAP,1210830,1345,DAILY,2.00,0.1350,0.1035,185,605.00,596.00,5870800,5704300,704300
SNAP,1210831,1345,DAILY,2.00,0.1350,0.1035,185,614.00,596.00,6037300,5704300,704300
REBAL,1210901,1345,EXTRA,2.00,0.1350,0.1035,196,614.00,596.00,6037300,6037300,1037300
SNAP,1210901,1345,DAILY,2.00,0.1350,0.1035,0,613.00,0.00,6037300,6037300,1037300
SNAP,1210902,1345,DAILY,2.00,0.1350,0.1035,196,607.00,613.00,5919700,6037300,1037300
SNAP,1210903,1345,DAILY,2.00,0.1350,0.1035,196,620.00,613.00,6174500,6037300,1037300
SNAP,1210906,1345,DAILY,2.00,0.1350,0.1035,196,631.00,613.00,6390100,6037300,1037300
REBAL,1210907,1345,EXTRA,2.00,0.1350,0.1035,202,634.00,613.00,6448900,6448900,1448900
SNAP,1210907,1345,DAILY,2.00,0.1350,0.1035,0,623.00,0.00,6448900,6448900,1448900
SNAP,1210908,1345,DAILY,2.00,0.1350,0.1035,202,619.00,622.00,6388300,6448900,1448900
